appid,currency,local_price,price_in_usd,relative_price_to_us
553320,MXN,179.99,8.6893467999944,0.43468468234089047
553320,PHP,499.95,10.046494602302491,0.5025760181241867
553320,KRW,21000.0,18.21414632030877,0.9111628974641707
553320,THB,369.0,10.500853727945362,0.5253053390668015
553320,GBP,14.99,18.97907996409295,0.9494287125609281
553320,COP,40000.0,13.6656360499479,0.6836236143045473
553320,NOK,140.0,17.004516035076428,0.8506511273174802
553320,PEN,49.95,15.280883752091754,0.7644264008049902
553320,SGD,20.0,14.15308972563528,0.7080084905270275
553320,HKD,119.0,15.336156303012034,0.7671914108560298
553320,NZD,23.99,17.409453064506412,0.8709081072789602
553320,ZAR,219.0,16.265028161893625,0.8136582372132879
553320,CHF,19.0,19.133706339903245,0.9571638989446346
553320,SAR,56.0,14.93472724120918,0.7471099170189686
553320,AED,62.0,16.880950364832735,0.8444697531181959
376210,USD,19.99,19.99,1.0
376210,CAD,21.99,16.852757176983072,0.8430593885434254
376210,CNY,68.0,9.881450207445063,0.49431967020735684
376210,TWD,468.0,14.95398773006135,0.7480734232146748
376210,USD,19.99,19.99,1.0
376210,BRL,36.99,11.819779517494807,0.5912846181838323
376210,JPY,1980.0,17.47734785659748,0.8743045451024253
376210,TRY,31.0,8.215772693421817,0.41099413173695937
376210,RUB,419.0,6.966439717019561,0.3484962339679621
376210,ARS,224.99,14.245283018867925,0.7126204611739833
376210,EUR,19.99,21.527470409151167,1.0769119764457813
376210,CLP,9500.0,14.701330857319714,0.7354342599959838
376210,INR,565.0,8.382092882490475,0.4193143012751614
376210,IDR,135999.0,10.185614211777812,0.5095354783280547
376210,MYR,38.0,8.577547006650533,0.429091896280667
376210,MXN,179.99,8.6893467999944,0.43468468234089047
376210,PHP,499.95,10.046494602302491,0.5025760181241867
376210,PLN,71.99,18.005859220142952,0.9007433326734844
376210,KRW,21000.0,18.21414632030877,0.9111628974641707
376210,THB,369.0,10.500853727945362,0.5253053390668015
376210,UAH,279.0,10.313886690975401,0.5159523107041222
376210,GBP,14.99,18.97907996409295,0.9494287125609281
376210,COP,40000.0,13.6656360499479,0.6836236143045473
376210,KZT,2650.0,8.120850737503947,0.4062456597050499
376210,NOK,140.0,17.004516035076428,0.8506511273174802
376210,PEN,49.95,15.280883752091754,0.7644264008049902
376210,SGD,20.0,14.15308972563528,0.7080084905270275
376210,VND,188000.0,8.323439410329721,0.41638016059678445
376210,HKD,119.0,15.336156303012034,0.7671914108560298
376210,ILS,73.95,19.59719093679608,0.9803497217006544
376210,NZD,23.99,17.409453064506412,0.8709081072789602
376210,ZAR,219.0,16.265028161893625,0.8136582372132879
376210,CHF,19.0,19.133706339903245,0.9571638989446346
376210,CRC,8500.0,15.375554994450303,0.7691623308879592
376210,SAR,56.0,14.93472724120918,0.7471099170189686
376210,AED,62.0,16.880950364832735,0.8444697531181959
376210,UYU,429.0,15.241869279902327,0.7624747013457893
376210,KWD,3.35,10.988974941856842,0.5497236088972908
376210,QAR,41.99,11.531595858621921,0.5768682270446184
250240,USD,o,o,1.0
327090,USD,14.99,14.99,1.0
327090,CAD,16.99,13.020843312275687,0.8686353110257297
327090,CNY,59.0,8.573611209400863,0.5719553842162016
327090,TWD,398.0,12.717280163599183,0.8483842670846686
327090,USD,14.99,14.99,1.0
327090,BRL,31.99,10.222080204505511,0.6819266313879594
327090,JPY,1599.0,14.11428243570675,0.9415798823019846
327090,TRY,29.0,7.685722842233313,0.5127233383744705
